,time,Mean_x,Mean_y,Mean_z,Median_x,Median_y,Median_z,SD_x,SD_y,SD_z
0,1.0,0.014649580778105454,0.06656159314944449,-0.15106105262962088,0.034020640117151446,0.053366431888318466,-0.14930123916167382,0.07630707283308136,0.16725374201351084,0.08606615788076571
1,2.0,0.0788454290176251,0.31460051866358757,-0.11000413094752556,0.08086767595956834,0.2824528791816365,-0.10772790705629673,0.05442346286092779,0.17059387985346106,0.05908522834489691
2,3.0,0.1614606272746603,1.1740612116729208,0.024309466720118498,0.15439610578406315,1.1955389391722842,0.029554892170174374,0.13025368484097247,0.1632570642239647,0.12054251478630046
3,4.0,0.07563990701258286,0.4399575872910596,0.0689582754216295,0.12254592481379745,0.5009697029433591,0.1030558697238333,0.2209587033637456,0.3250805105137241,0.17648534162526297
4,5.0,0.02646742589125937,-0.12961160080819653,0.004561711227654589,0.09897784870480476,-0.14185836918175232,0.010978972608302941,0.3094393638108319,0.3662482567654758,0.20715666000712887
5,6.0,-0.005278947179905124,-0.5012165873795729,-0.12238963254881728,-0.011642157078184391,-0.5105549213054124,-0.11242995001201794,0.2676098252332733,0.4224130265925909,0.21461588651254296
6,7.0,0.060382434933650565,-0.24789092124765888,-0.15380830983565952,0.0012063947670384325,-0.2460224604103054,-0.12711096058206284,0.4831385844138224,0.6951612697148511,0.49385990754176795
7,8.0,0.0425638084548312,-0.08051719514203778,-0.09500652255546159,0.1320497138257083,-0.11750156500479393,-0.1082859917795087,0.5218082917460689,0.45770138242444824,0.39010570833389224
8,9.0,0.04515715488499398,-0.013661642571164236,-0.13035605062718514,0.07904512963716037,0.0004395742981717632,-0.07805901480649191,0.4385767175241271,0.5228132750318965,0.37045442561603836
9,10.0,0.003210680332887571,0.050853412281503994,-0.05786690030684181,0.02812297549241549,0.023561845812277937,-0.03499375285642792,0.4547767359714077,0.47479864142759787,0.34454588070847986
10,11.0,0.03419846507299582,-0.06809713838255681,-0.10789725434629144,0.05027791815376026,-0.19694543769998685,-0.05115194369267384,0.7205616266087193,0.5869846890303692,0.46686181303385044
11,12.0,-0.020901516623005285,-0.13250614812699438,-0.1672387039552461,-0.06683492004922265,-0.1812757068812063,-0.0982064850749908,0.9426639891333808,0.7004132454442247,0.47689928204314097
12,13.0,-0.0012566830962044096,-0.04116351335117857,-0.1668379031768221,-0.006181786938271705,-0.011470604252092896,-0.278434257148076,0.5580274138762528,0.6472620347719028,0.4363796422230404
13,14.0,-0.07911043677818257,-0.11873377439013133,-0.2009179767598733,0.015228395922454396,-0.0820694804373705,-0.2113992289961644,0.6216662951250677,0.6578469013441346,0.5526153397552972
14,15.0,0.08635552286302316,-0.0017731497801877368,-0.19944925342353112,0.11249252039696334,0.01568411441105821,-0.19328352987580955,0.3210394899446944,0.6211706620787508,0.37474452150189996
15,16.0,-0.21424240322694024,-0.05537060714771063,-0.09724564540167954,-0.16810040102330448,-0.060490270224526466,-0.005209057313627003,0.5080269052384633,0.5705986438016011,0.48349493738208177
16,17.0,0.06409660290888773,-0.09802108923643256,-0.13239569946416477,0.057508356306085424,-0.08815573866400417,-0.17831952094351133,0.6315880776227367,0.5309710038547295,0.3779187850339191
17,18.0,0.10308917224865853,-0.009227091799335846,-0.16273561057945182,0.1904861544879992,-0.07066531555117272,-0.16288354883512365,1.0027951977472427,0.5469017017094379,0.45292970255582754
18,19.0,0.01673953558266056,-0.08008154409013067,-0.1743408709479915,0.03227367304881845,-0.022371302322905073,-0.1296970239211116,0.5356733292843949,0.43706838270361686,0.4588111959060111
19,20.0,0.3829025181682576,-1.7033154280477818,-0.1815490031366425,0.3618531254429609,-1.8507712665419875,-0.0022229862907487963,1.0570517763970477,0.8039341177771144,0.590226500829133
20,21.0,2.55930684778873,-0.9812281343881785,0.6727502296564127,2.6497763136233736,-1.112918288586104,0.6121583932828254,0.5224895377711173,0.976246314218465,0.5228553063429261
21,22.0,0.35770960307684746,-1.3566742266504255,1.5899542760504677,-0.3450000521772658,-1.4398723199938104,1.7262989557581168,2.1124185587936855,1.391092808239903,1.9040338787947926
22,23.0,-2.402790623140395,1.1884213303294644,-0.3225936779997509,-2.498561958517953,1.3707605148287456,-0.460042562907617,1.0295019793847267,1.8138745818243913,0.9807984894889672
23,24.0,-1.2075862003986984,1.9047220458556011,-0.41841619665089186,-1.2089636195487437,1.8130160921685388,-0.4332565974454949,0.6257207359248679,0.8312518556258951,0.36132671574246317
24,25.0,-0.18397653965938743,1.0561227530298942,-0.22979381905390178,-0.15667916670878054,1.086738279756041,-0.1883727181223378,0.5838299524765174,0.9510573379501318,0.46973386987860066
25,26.0,0.3347648270749887,0.3476049987809895,-0.21832254129211912,0.32785722308019416,0.1967697210484154,-0.12769324897590906,0.4569986976775739,1.0360034275331564,0.49843544360697917
